-80, -80, -80, -140
-80, -80, -80, -120
-80, -80, -80, -100
-80, -80, -80, -80
-80, -80, -80, -60
-80, -80, -80, -40
-80, -80, -80, -20
-80, -80, -80, 0
-80, -80, -80, 20
-80, -80, -60, -140
-80, -80, -60, -120
-80, -80, -60, -100
-80, -80, -60, -80
-80, -80, -60, -60
-80, -80, -60, -40
-80, -80, -60, -20
-80, -80, -60, 0
-80, -80, -60, 20
-80, -80, -40, -140
-80, -80, -40, -120
-80, -80, -40, -100
-80, -80, -40, -80
-80, -80, -40, -60
-80, -80, -40, -40
-80, -80, -40, -20
-80, -80, -40, 0
-80, -80, -40, 20
-80, -80, -20, -140
-80, -80, -20, -120
-80, -80, -20, -100
-80, -80, -20, -80
-80, -80, -20, -60
-80, -80, -20, -40
-80, -80, -20, -20
-80, -80, -20, 0
-80, -80, -20, 20
-80, -80, 0, -140
-80, -80, 0, -120
-80, -80, 0, -100
-80, -80, 0, -80
-80, -80, 0, -60
-80, -80, 0, -40
-80, -80, 0, -20
-80, -80, 0, 0
-80, -80, 0, 20
-80, -80, 20, -140
-80, -80, 20, -120
-80, -80, 20, -100
-80, -80, 20, -80
-80, -80, 20, -60
-80, -80, 20, -40
-80, -80, 20, -20
-80, -80, 20, 0
-80, -80, 20, 20
-80, -80, 40, -140
-80, -80, 40, -120
-80, -80, 40, -100
-80, -80, 40, -80
-80, -80, 40, -60
-80, -80, 40, -40
-80, -80, 40, -20
-80, -80, 40, 0
-80, -80, 40, 20
-80, -80, 60, -140
-80, -80, 60, -120
-80, -80, 60, -100
-80, -80, 60, -80
-80, -80, 60, -60
-80, -80, 60, -40
-80, -80, 60, -20
-80, -80, 60, 0
-80, -80, 60, 20
-80, -80, 80, -140
-80, -80, 80, -120
-80, -80, 80, -100
-80, -80, 80, -80
-80, -80, 80, -60
-80, -80, 80, -40
-80, -80, 80, -20
-80, -80, 80, 0
-80, -80, 80, 20
-80, -60, -80, -140
-80, -60, -80, -120
-80, -60, -80, -100
-80, -60, -80, -80
-80, -60, -80, -60
-80, -60, -80, -40
-80, -60, -80, -20
-80, -60, -80, 0
-80, -60, -80, 20
-80, -60, -60, -140
-80, -60, -60, -120
-80, -60, -60, -100
-80, -60, -60, -80
-80, -60, -60, -60
-80, -60, -60, -40
-80, -60, -60, -20
-80, -60, -60, 0
-80, -60, -60, 20
-80, -60, -40, -140
-80, -60, -40, -120
-80, -60, -40, -100
-80, -60, -40, -80
-80, -60, -40, -60
-80, -60, -40, -40
-80, -60, -40, -20
-80, -60, -40, 0
-80, -60, -40, 20
-80, -60, -20, -140
-80, -60, -20, -120
-80, -60, -20, -100
-80, -60, -20, -80
-80, -60, -20, -60
-80, -60, -20, -40
-80, -60, -20, -20
-80, -60, -20, 0
-80, -60, -20, 20
-80, -60, 0, -140
-80, -60, 0, -120
-80, -60, 0, -100
-80, -60, 0, -80
-80, -60, 0, -60
-80, -60, 0, -40
-80, -60, 0, -20
-80, -60, 0, 0
-80, -60, 0, 20
-80, -60, 20, -140
-80, -60, 20, -120
-80, -60, 20, -100
-80, -60, 20, -80
-80, -60, 20, -60
-80, -60, 20, -40
-80, -60, 20, -20
-80, -60, 20, 0
-80, -60, 20, 20
-80, -60, 40, -140
-80, -60, 40, -120
-80, -60, 40, -100
-80, -60, 40, -80
-80, -60, 40, -60
-80, -60, 40, -40
-80, -60, 40, -20
-80, -60, 40, 0
-80, -60, 40, 20
-80, -60, 60, -140
-80, -60, 60, -120
-80, -60, 60, -100
-80, -60, 60, -80
-80, -60, 60, -60
-80, -60, 60, -40
-80, -60, 60, -20
-80, -60, 60, 0
-80, -60, 60, 20
-80, -60, 80, -140
-80, -60, 80, -120
-80, -60, 80, -100
-80, -60, 80, -80
-80, -60, 80, -60
-80, -60, 80, -40
-80, -60, 80, -20
-80, -60, 80, 0
-80, -60, 80, 20
-80, -40, -80, -140
-80, -40, -80, -120
-80, -40, -80, -100
-80, -40, -80, -80
-80, -40, -80, -60
-80, -40, -80, -40
-80, -40, -80, -20
-80, -40, -80, 0
-80, -40, -80, 20
-80, -40, -60, -140
-80, -40, -60, -120
-80, -40, -60, -100
-80, -40, -60, -80
-80, -40, -60, -60
-80, -40, -60, -40
-80, -40, -60, -20
-80, -40, -60, 0
